x,y
69.984,95.04
94.176,139.968
49.248,209.952
76.032,153.792
75.168,88.992
64.8,85.536
47.52,188.352
44.928,207.36
33.696,127.872
31.104,95.04
84.672,126.144
43.2,147.744
41.472,148.608
84.672,63.072
80.352,52.704
30.24,83.808
44.928,164.16
31.104,171.072
41.472,82.944
42.336,42.336
59.616,106.272
58.752,107.136
34.56,83.808
86.4,127.008
52.704,104.544
42.336,104.544
61.344,133.92
28.512,91.584
76.032,84.672
47.52,126.144
52.704,209.952
56.16,104.544
50.976,148.608
114.912,85.536
46.656,154.656
97.632,136.512
58.752,90.72
38.88,107.136
64.8,164.16
27.648,63.936
84.672,174.528
76.032,80.352
82.944,141.696
31.968,159.84
71.712,112.32
50.976,152.928
38.016,104.544
38.88,73.44
41.472,106.272
25.056,152.064
29.376,134.784
35.424,106.272
42.336,104.544
31.968,105.408
33.696,127.872
46.656,167.616
38.016,157.248
30.24,129.6
68.256,158.976
63.936,108.0
37.152,53.568
93.312,83.808
74.304,127.872
95.04,107.136
74.304,123.552
44.928,169.344
70.848,169.344
43.2,148.608
50.976,82.944
82.08,127.008
51.84,211.68
61.344,104.544
74.304,147.744
31.968,146.88
64.8,148.608
31.968,127.008
36.288,53.568
61.344,127.872
61.344,148.608
57.888,63.072
31.104,128.736
44.064,147.744
202.176,105.408
50.112,156.384
47.52,124.416
31.968,126.144
31.104,105.408
83.808,167.616
31.104,124.416
54.432,103.68
69.12,95.04
63.936,146.88
78.624,146.88
31.104,126.144
55.296,167.616
85.536,83.808
36.288,127.008
25.056,84.672
45.792,166.752
52.704,148.608
41.472,133.92
38.88,127.872
25.92,107.136
78.624,63.072
32.832,40.608
75.168,169.344
31.968,126.144
30.24,197.856
74.304,125.28
51.84,125.28
36.288,151.2
39.744,170.208
55.296,149.472
31.968,111.456
67.392,148.608
41.472,84.672
40.608,42.336
29.376,127.008
34.56,147.744
40.608,63.072
44.064,105.408
31.968,126.144
38.016,150.336
69.984,146.88
82.08,85.536
59.616,143.424
81.216,150.336
39.744,168.48
42.336,105.408
49.248,83.808
42.336,64.8
54.432,104.544
77.76,84.672
38.016,167.616
88.992,158.976
50.112,145.152
64.8,105.408
55.296,146.88
76.032,126.144
25.056,148.608
64.8,82.944
46.656,123.552
62.208,127.008
34.56,84.672
47.52,59.616
52.704,104.544
27.648,132.192
57.024,119.232
59.616,118.368
115.776,193.536
43.2,114.912
31.104,118.368
51.84,169.344
50.112,143.424
29.376,143.424
60.48,158.976
28.512,127.872
95.04,107.136
89.856,63.072
57.024,148.608
82.944,85.536
73.44,123.552
72.576,82.944
74.304,84.672
84.672,105.408
53.568,123.552
87.264,146.016
84.672,146.016
41.472,105.408
38.88,85.536
82.944,84.672
70.848,105.408
59.616,152.064
57.888,62.208
32.832,104.544
32.832,97.632
71.712,35.424
43.2,66.528
42.336,86.4
40.608,63.936
75.168,82.944
51.84,77.76
78.624,125.28
