temp;feels_like;temp_min;temp_max;pressure;humidity;wind_speed;rain_1h;rain_3h;snow_1h;snow_3h;clouds_all
2.87;-3.59;2.82;11.5;997;86;11.3;1;;;;90
2.83;-3.64;2.82;7.4;997;86;11.3;2;;;;90
0.55;-4.23;-0.73;2.37;993;90;5;;;1;;40
0.9;-3.56;-0.17;2.37;996;86;4.6;1;;;;90
0.82;-4.73;-0.73;1.68;996;80;6.7;;;;;75
0.56;-2.83;-1.28;2.24;993;85;3;;;;;40
0.83;-4.49;0.65;2.24;995;80;6.2;;;;;90
0.45;-2.96;0.02;1.68;991;89;3;;;;;40
0.79;-4.3;0.37;1.68;993;86;5.7;;;;;90
-0.15;-5.16;-0.18;1.68;993;92;5.1;;;1;;90
-0.01;-0.01;-0.28;1.35;991;98;1;;;1;;40
0.04;-4.92;-0.18;1.35;995;100;5.1;;;1;;90
0.04;-2.41;-0.73;1.68;995;96;2;;;2;;90
0.04;-3.54;-0.73;1.68;999;100;3.1;;;2;;90
0.87;0.87;-0.73;2.82;1000;84;1;2;;;;90
-0.01;-0.01;-0.31;1.13;999;94;0;;;2;;90
-2.25;-5.08;-4.26;-1.1;1011;95;2;;;1;;40
-3.01;-7.21;-4.41;-1.1;1014;100;3.1;;;1;;90
-1.86;-4.75;-4.41;0.6;1016;83;2.1;;;;;90
-2.84;-5.76;-5.17;-1.65;1014;93;2;;;;;40
-2.24;-2.24;-5.17;-1.1;1017;86;1;;;;;90
-1.06;-3.69;-5.17;-0.58;1015;78;2;;;;;40
-1.3;-5.15;-5.17;-0.54;1018;74;3.1;;;;;40
-1.18;-6.14;-5.17;-0.54;1018;74;4.6;;;;;75
-2.23;-5.05;-5.03;-1.1;1016;84;2;;;;;40
-3.1;-8.53;-5.93;-1.1;1019;79;4.6;;;;;20
-4.76;-8;-5.93;-3.32;1018;86;2;;;;;20
-4.99;-10.49;-5.91;-3.75;1020;79;4.1;;;;;0
-5.18;-10.3;-6.28;-5.18;1020;79;3.6;;;;;0
-4.49;-4.49;-6.84;-3.95;1018;81;0;;;;;20
-2.18;-7.7;-2.6;-2.18;1019;86;5.1;;;;;90
-1.19;-6.46;-3.15;0.37;1020;80;5.1;;;;;90
-0.56;-5.37;-2.39;0.6;1020;73;4.6;;;;;90
-0.49;-4.09;-2.39;1.15;1018;78;3;;;;;75
0.37;-5.31;-1.31;1.71;1021;69;6.7;;;;;90
1.16;-2.86;-1.28;2.82;1017;72;4;;;;;40
1.5;-4.83;-0.17;2.82;1020;69;9.3;;;;;75
1.32;-4.5;0.38;2.26;1020;69;7.7;;;;;90
0.49;-4.3;-0.93;1.68;1018;82;5;;;;;75
1.13;-4.74;-1.49;1.71;1020;74;7.7;;;;;90
0.65;-3.49;-1.49;1.68;1018;82;4;;;;;40
0.87;-5.48;-1.49;1.68;1021;86;8.8;;;;;90
1.33;-4.48;-2.04;2.26;1022;74;7.7;;;;;90
1.18;1.18;-1.84;2.26;1020;75;0.45;;;;;75
-6.17;-9.79;-6.18;-4.43;1027;100;2.1;;;;;1
-4.74;-4.74;-5.81;-3.23;1025;94;0;;;;;20
-2.58;-5.59;-5.18;2.26;1029;80;2.1;;;;;20
-2.24;-2.24;-3.18;-0.31;1026;79;0;;;;;0
-2.13;-5.65;-2.43;0.57;1029;73;2.6;;;;;0
-1.16;-3.93;-1.18;1.68;1029;74;2.1;;;;;0
2.34;2.34;-1.03;3.9;1025;58;0;;;;;0
1.84;-1.75;-1.03;2.89;1028;47;3.6;;;;;0
1.82;-2.11;0.94;1.82;1027;59;4.1;;;;;0
1.7;1.7;-2.39;2.79;1025;51;0;;;;;20
0.73;-2.71;-2.95;2.79;1028;55;3.1;;;;;0
-1.08;-3.71;-3.81;1.97;1026;83;2;;;;;20
-2.03;-6.03;-3.81;1.97;1028;68;3.1;;;;;0
-3.18;-6.9;-3.18;-0.37;1029;73;2.6;;;;;0
-3.75;-3.75;-5.81;2.97;1027;79;0;;;;;0
-10.14;-13.32;-10.18;2.05;1031;92;1.5;;;;;1
-6.07;-6.07;-10.18;4.97;1030;80;0;;;;;0
-3.8;-3.8;-6.18;5.94;1031;69;0.5;;;;;0
-2.69;-4.82;-4.18;7.61;1031;73;1.5;;;;;0
0.95;-0.67;-2.18;8.72;1031;58;1.5;;;;;0
0.96;0.96;-1.18;9.27;1027;67;0;;;;;0
0.86;-2.1;-0.18;8.16;1030;68;2.6;;;;;0
0.82;-0.82;0.82;9.27;1029;59;1.5;;;;;0
2.08;2.08;-0.18;7.97;1026;61;0;;;;;0
0.96;0.96;-0.18;7.97;1029;63;1;;;;;0
-1.19;-1.19;-3.18;7.85;1027;84;0;;;;;0
-2.57;-2.57;-4.18;7.85;1029;85;0;;;;;1
-4.15;-7.43;-4.18;6.85;1029;92;2.1;;;;;1
-2.61;-2.61;-5.18;7.97;1027;92;0;;;;;0
-4.82;-4.82;-9.18;8.37;1023;80;0;;;;;0
-3.76;-3.76;-7.18;8.72;1025;78;1;;;;;1
-3.41;-6.56;-6.18;9.27;1024;79;2.1;;;;;1
-0.06;-0.06;-4.18;9.77;1021;71;0;;;;;20
