course_id;sched_1_355;sched_2_1035;sched_3_418;sched_4_2543;stop_1_355;stop_2_1035;stop_3_418;stop_4_2543;stay_1_355;stay_2_1035;stay_3_418;stay_4_2543;daily_course;weekly_course;delta1;delta2;delta3;date
1143808;2020-01-12-09-56;2020-01-12-09-58;2020-01-12-09-59;2020-01-12-10-01;2020-01-12-09-55;2020-01-12-09-57;2020-01-12-09-58;2020-01-12-10-00;0.5;0;0.5;1;5;32;0.000862778;0.00098;0.001122778;12.01.2020
1143810;2020-01-12-11-03;2020-01-12-11-05;2020-01-12-11-06;2020-01-12-11-08;2020-01-12-11-02;2020-01-12-11-04;2020-01-12-11-05;2020-01-12-11-08;0.5;0;0.5;1;6;33;0.000892778;0.00073;0.001602778;12.01.2020
1143812;2020-01-12-12-06;2020-01-12-12-08;2020-01-12-12-09;2020-01-12-12-11;2020-01-12-12-05;2020-01-12-12-07;2020-01-12-12-08;2020-01-12-12-10;1;0.5;1;1;7;34;0.000695556;0.000392778;0.000765556;12.01.2020
1143814;2020-01-12-13-09;2020-01-12-13-11;2020-01-12-13-12;2020-01-12-13-14;2020-01-12-13-09;2020-01-12-13-11;2020-01-12-13-12;2020-01-12-13-16;2;0.5;0.5;1;8;35;7.11111E-05;0.000402778;0.001832778;12.01.2020
1143816;2020-01-12-14-12;2020-01-12-14-14;2020-01-12-14-15;2020-01-12-14-17;2020-01-12-14-12;2020-01-12-14-14;2020-01-12-14-15;2020-01-12-14-18;2;0.5;0;1;9;36;0.000311111;0.000382778;0.0017;12.01.2020
1143818;2020-01-12-15-15;2020-01-12-15-17;2020-01-12-15-18;2020-01-12-15-20;2020-01-12-15-15;2020-01-12-15-17;2020-01-12-15-18;2020-01-12-15-21;2;0.5;0.5;0;10;37;0.000291111;0.000382778;0.001812778;12.01.2020
1143820;2020-01-12-16-26;2020-01-12-16-28;2020-01-12-16-29;2020-01-12-16-31;2020-01-12-16-26;2020-01-12-16-27;2020-01-12-16-29;2020-01-12-16-31;0.5;0;0;1;11;38;0.000622778;0.00075;0.00172;12.01.2020
1143822;2020-01-12-17-31;2020-01-12-17-33;2020-01-12-17-34;2020-01-12-17-36;2020-01-12-17-31;2020-01-12-17-33;2020-01-12-17-34;2020-01-12-17-37;1;0;0.5;1;12;39;0.001025556;0.00074;0.001602778;12.01.2020
1143824;2020-01-12-18-34;2020-01-12-18-36;2020-01-12-18-37;2020-01-12-18-39;2020-01-12-18-34;2020-01-12-18-36;2020-01-12-18-37;2020-01-12-18-39;1;0.5;0.5;1;13;40;0.001005556;0.000392778;0.000902778;12.01.2020
1143826;2020-01-12-19-36;2020-01-12-19-37;2020-01-12-19-38;2020-01-12-19-40;2020-01-12-19-36;2020-01-12-19-39;2020-01-12-19-40;2020-01-12-19-43;1;0.5;0.5;1;14;41;0.001025556;0.000362778;0.001852778;12.01.2020
1143828;2020-01-12-20-44;2020-01-12-20-45;2020-01-12-20-46;2020-01-12-20-48;2020-01-12-20-44;2020-01-12-20-45;2020-01-12-20-46;2020-01-12-20-49;1;0;0;1;15;42;0.000295556;0.0005;0.00219;12.01.2020
1143527;2020-01-13-05-30;2020-01-13-05-31;2020-01-13-05-33;2020-01-13-05-35;2020-01-13-05-29;2020-01-13-05-31;2020-01-13-05-32;2020-01-13-05-35;0;0;1;0.5;1;43;0.00096;0.00099;0.001525556;13.01.2020
1143529;2020-01-13-06-42;2020-01-13-06-43;2020-01-13-06-45;2020-01-13-06-47;2020-01-13-06-42;2020-01-13-06-43;2020-01-13-06-44;2020-01-13-06-46;1;0;0;1;2;44;0.000135556;0.00101;0.00147;13.01.2020
1143531;2020-01-13-07-44;2020-01-13-07-46;2020-01-13-07-48;2020-01-13-07-51;2020-01-13-07-55;2020-01-13-07-58;2020-01-13-07-59;2020-01-13-08-02;2;0;0;1;3;45;0.000891111;0.00073;0.00148;13.01.2020
1143533;2020-01-13-08-58;2020-01-13-09-00;2020-01-13-09-02;2020-01-13-09-05;2020-01-13-09-07;2020-01-13-09-09;2020-01-13-09-11;2020-01-13-09-14;0.5;1;1;1;4;46;0.000572778;0.000795556;0.001325556;13.01.2020
1143535;2020-01-13-10-28;2020-01-13-10-30;2020-01-13-10-32;2020-01-13-10-35;2020-01-13-10-29;2020-01-13-10-31;2020-01-13-10-33;2020-01-13-10-36;1;0;0.5;1;5;47;0.000645556;0.00099;0.001852778;13.01.2020
1143537;2020-01-13-11-39;2020-01-13-11-41;2020-01-13-11-43;2020-01-13-11-46;2020-01-13-11-38;2020-01-13-11-41;2020-01-13-11-42;2020-01-13-11-46;1;1;1;1;6;48;0.001225556;0.000275556;0.001735556;13.01.2020
1143539;2020-01-13-12-50;2020-01-13-12-52;2020-01-13-12-54;2020-01-13-12-57;2020-01-13-12-49;2020-01-13-12-51;2020-01-13-12-53;2020-01-13-12-56;1;0.5;1;1;7;49;0.000825556;0.000852778;0.001505556;13.01.2020
1143541;2020-01-13-14-01;2020-01-13-14-03;2020-01-13-14-05;2020-01-13-14-08;2020-01-13-14-02;2020-01-13-14-04;2020-01-13-14-05;2020-01-13-14-10;2;0;1;1;8;50;0.000331111;0.00086;0.002495556;13.01.2020
1143543;2020-01-13-15-12;2020-01-13-15-14;2020-01-13-15-16;2020-01-13-15-19;2020-01-13-15-12;2020-01-13-15-15;2020-01-13-15-17;2020-01-13-15-19;2;1;1;1;9;51;0.000681111;0.000385556;0.001035556;13.01.2020
1143545;2020-01-13-16-29;2020-01-13-16-31;2020-01-13-16-33;2020-01-13-16-36;2020-01-13-16-29;2020-01-13-16-31;2020-01-13-16-33;2020-01-13-16-36;1;1;1;0.5;10;52;0.000625556;0.000545556;0.001395556;13.01.2020
1143547;2020-01-13-17-41;2020-01-13-17-43;2020-01-13-17-45;2020-01-13-17-48;2020-01-13-17-48;2020-01-13-17-50;2020-01-13-17-52;2020-01-13-17-57;1;1;2;1;11;53;0.000395556;0.000995556;0.002001111;13.01.2020
1143549;2020-01-13-18-52;2020-01-13-18-54;2020-01-13-18-56;2020-01-13-18-59;2020-01-13-19-10;2020-01-13-19-12;2020-01-13-19-13;2020-01-13-19-15;1;0;0;1;12;54;0.000865556;0.00076;0.00161;13.01.2020
1143551;2020-01-13-19-59;2020-01-13-20-00;2020-01-13-20-02;2020-01-13-20-04;2020-01-13-20-17;2020-01-13-20-19;2020-01-13-20-19;2020-01-13-20-23;1;0;0;1;13;55;0.000765556;0.00057;0.00243;13.01.2020
1143553;2020-01-13-21-10;2020-01-13-21-11;2020-01-13-21-13;2020-01-13-21-15;2020-01-13-21-35;2020-01-13-21-36;2020-01-13-21-37;2020-01-13-21-41;0;0;0.5;3;14;56;0.00089;0.00058;0.002802778;13.01.2020
1143527;2020-01-14-05-30;2020-01-14-05-31;2020-01-14-05-33;2020-01-14-05-35;2020-01-14-05-29;2020-01-14-05-31;2020-01-14-05-32;2020-01-14-05-36;0.5;0;1;0.5;1;57;0.000622778;0.00097;0.001715556;14.01.2020
1143529;2020-01-14-06-42;2020-01-14-06-43;2020-01-14-06-45;2020-01-14-06-47;2020-01-14-06-42;2020-01-14-06-43;2020-01-14-06-44;2020-01-14-06-46;0;0;0.5;1;2;58;0.00074;0.00075;0.001112778;14.01.2020
1143531;2020-01-14-07-44;2020-01-14-07-46;2020-01-14-07-48;2020-01-14-07-51;2020-01-14-07-49;2020-01-14-07-52;2020-01-14-07-53;2020-01-14-07-56;2;0;0;0.5;3;59;0.000441111;0.00096;0.00198;14.01.2020
1143533;2020-01-14-08-58;2020-01-14-09-00;2020-01-14-09-02;2020-01-14-09-05;2020-01-14-09-09;2020-01-14-09-11;2020-01-14-09-12;2020-01-14-09-16;0.5;0;0;1;4;60;0.001092778;0.00073;0.00245;14.01.2020
1143535;2020-01-14-10-28;2020-01-14-10-30;2020-01-14-10-32;2020-01-14-10-35;2020-01-14-10-28;2020-01-14-10-30;2020-01-14-10-31;2020-01-14-10-34;0;0.5;0.5;1;5;61;0.00099;0.000852778;0.001582778;14.01.2020
1143537;2020-01-14-11-39;2020-01-14-11-41;2020-01-14-11-43;2020-01-14-11-46;2020-01-14-11-39;2020-01-14-11-41;2020-01-14-11-42;2020-01-14-11-46;1;0.5;0.5;1;6;62;0.000765556;0.000612778;0.002072778;14.01.2020
1143541;2020-01-14-14-01;2020-01-14-14-03;2020-01-14-14-05;2020-01-14-14-08;2020-01-14-14-01;2020-01-14-14-03;2020-01-14-14-05;2020-01-14-14-08;2;0.5;0;0.5;7;63;0.000101111;0.000632778;0.00247;14.01.2020
1143543;2020-01-14-15-12;2020-01-14-15-14;2020-01-14-15-16;2020-01-14-15-19;2020-01-14-15-11;2020-01-14-15-14;2020-01-14-15-15;2020-01-14-15-17;1;0;2;0.5;8;64;0.001015556;0.00123;5.11111E-05;14.01.2020
1143545;2020-01-14-16-29;2020-01-14-16-31;2020-01-14-16-33;2020-01-14-16-36;2020-01-14-16-28;2020-01-14-16-30;2020-01-14-16-31;2020-01-14-16-34;0;0;0;0.5;9;65;0.00122;0.00073;0.00202;14.01.2020
1143547;2020-01-14-17-41;2020-01-14-17-43;2020-01-14-17-45;2020-01-14-17-48;2020-01-14-17-47;2020-01-14-17-51;2020-01-14-17-55;2020-01-14-17-58;1;2;0.5;1;10;66;0.001455556;0.001531111;0.001612778;14.01.2020
1143549;2020-01-14-18-52;2020-01-14-18-54;2020-01-14-18-56;2020-01-14-18-59;2020-01-14-19-07;2020-01-14-19-10;2020-01-14-19-11;2020-01-14-19-16;2;0;2;0.5;11;67;0.000821111;0.00096;0.001521111;14.01.2020
1143551;2020-01-14-19-59;2020-01-14-20-00;2020-01-14-20-02;2020-01-14-20-04;2020-01-14-20-17;2020-01-14-20-19;2020-01-14-20-20;2020-01-14-20-23;1;0;0;1;12;68;0.001225556;0.00073;0.00194;14.01.2020
1143553;2020-01-14-21-10;2020-01-14-21-11;2020-01-14-21-13;2020-01-14-21-15;2020-01-14-21-16;2020-01-14-21-18;2020-01-14-21-19;2020-01-14-21-21;1;0;0.5;0.5;13;69;0.000635556;0.00036;0.001602778;14.01.2020
