course_id,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course
1143537,2020-01-14-11-39,2020-01-14-11-41,2020-01-14-11-43,2020-01-14-11-46,2020-01-14-11-39,2020-01-14-11-41,2020-01-14-11-42,2020-01-14-11-46,1,0.5,0.5,1,6,62
1143541,2020-01-14-14-01,2020-01-14-14-03,2020-01-14-14-05,2020-01-14-14-08,2020-01-14-14-01,2020-01-14-14-03,2020-01-14-14-05,2020-01-14-14-08,2,0.5,0,0.5,7,63
1143543,2020-01-14-15-12,2020-01-14-15-14,2020-01-14-15-16,2020-01-14-15-19,2020-01-14-15-11,2020-01-14-15-14,2020-01-14-15-15,2020-01-14-15-17,1,0,2,0.5,8,64
1143545,2020-01-14-16-29,2020-01-14-16-31,2020-01-14-16-33,2020-01-14-16-36,2020-01-14-16-28,2020-01-14-16-30,2020-01-14-16-31,2020-01-14-16-34,0,0,0,0.5,9,65
1143547,2020-01-14-17-41,2020-01-14-17-43,2020-01-14-17-45,2020-01-14-17-48,2020-01-14-17-47,2020-01-14-17-51,2020-01-14-17-55,2020-01-14-17-58,1,2,0.5,1,10,66
1143549,2020-01-14-18-52,2020-01-14-18-54,2020-01-14-18-56,2020-01-14-18-59,2020-01-14-19-07,2020-01-14-19-10,2020-01-14-19-11,2020-01-14-19-16,2,0,2,0.5,11,67
1143551,2020-01-14-19-59,2020-01-14-20-00,2020-01-14-20-02,2020-01-14-20-04,2020-01-14-20-17,2020-01-14-20-19,2020-01-14-20-20,2020-01-14-20-23,1,0,0,1,12,68
1143553,2020-01-14-21-10,2020-01-14-21-11,2020-01-14-21-13,2020-01-14-21-15,2020-01-14-21-16,2020-01-14-21-18,2020-01-14-21-19,2020-01-14-21-21,1,0,0.5,0.5,13,69
1143527,2020-01-15-05-30,2020-01-15-05-31,2020-01-15-05-33,2020-01-15-05-35,2020-01-15-05-30,2020-01-15-05-31,2020-01-15-05-32,2020-01-15-05-35,0,0,0,1,1,70
1143529,2020-01-15-06-42,2020-01-15-06-43,2020-01-15-06-45,2020-01-15-06-47,2020-01-15-06-42,2020-01-15-06-43,2020-01-15-06-44,2020-01-15-06-48,1,0.5,1,0,2,71
1143531,2020-01-15-07-44,2020-01-15-07-46,2020-01-15-07-48,2020-01-15-07-51,2020-01-15-07-54,2020-01-15-07-56,2020-01-15-07-57,2020-01-15-08-00,1,0,0,1,3,72
1143533,2020-01-15-08-58,2020-01-15-09-00,2020-01-15-09-02,2020-01-15-09-05,2020-01-15-09-05,2020-01-15-09-07,2020-01-15-09-09,2020-01-15-09-12,2,0.5,0,1,4,73
1143535,2020-01-15-10-28,2020-01-15-10-30,2020-01-15-10-32,2020-01-15-10-35,2020-01-15-10-28,2020-01-15-10-30,2020-01-15-10-32,2020-01-15-10-34,1,1,0,0.5,5,74
1143537,2020-01-15-11-39,2020-01-15-11-41,2020-01-15-11-43,2020-01-15-11-46,2020-01-15-11-40,2020-01-15-11-42,2020-01-15-11-43,2020-01-15-11-46,0.5,1,1,1,6,75
1143539,2020-01-15-12-50,2020-01-15-12-52,2020-01-15-12-54,2020-01-15-12-57,2020-01-15-12-52,2020-01-15-12-54,2020-01-15-12-57,2020-01-15-13-00,1,0.5,1,0.5,7,76
1143541,2020-01-15-14-01,2020-01-15-14-03,2020-01-15-14-05,2020-01-15-14-08,2020-01-15-14-02,2020-01-15-14-04,2020-01-15-14-06,2020-01-15-14-08,2,1,0.5,0.5,8,77
1143543,2020-01-15-15-12,2020-01-15-15-14,2020-01-15-15-16,2020-01-15-15-19,2020-01-15-15-12,2020-01-15-15-14,2020-01-15-15-16,2020-01-15-15-19,1,1,1,1,9,78
1143545,2020-01-15-16-29,2020-01-15-16-31,2020-01-15-16-33,2020-01-15-16-36,2020-01-15-16-29,2020-01-15-16-33,2020-01-15-16-34,2020-01-15-16-37,2,1,0,1,10,79
1143547,2020-01-15-17-41,2020-01-15-17-43,2020-01-15-17-45,2020-01-15-17-48,2020-01-15-17-47,2020-01-15-17-49,2020-01-15-17-51,2020-01-15-17-56,1,0,2,1,11,80
1143549,2020-01-15-18-52,2020-01-15-18-54,2020-01-15-18-56,2020-01-15-18-59,2020-01-15-19-14,2020-01-15-19-17,2020-01-15-19-18,2020-01-15-19-21,2,1,1,1,12,81
1143551,2020-01-15-19-59,2020-01-15-20-00,2020-01-15-20-02,2020-01-15-20-04,2020-01-15-20-35,2020-01-15-20-40,2020-01-15-20-41,2020-01-15-20-43,4,0.5,0,0.5,13,82
1143527,2020-01-16-05-30,2020-01-16-05-31,2020-01-16-05-33,2020-01-16-05-35,2020-01-16-05-30,2020-01-16-05-31,2020-01-16-05-33,2020-01-16-05-36,0.5,0.5,1,0.5,1,83
1143529,2020-01-16-06-42,2020-01-16-06-43,2020-01-16-06-45,2020-01-16-06-47,2020-01-16-06-44,2020-01-16-06-45,2020-01-16-06-47,2020-01-16-06-50,0.5,0.5,0.5,0.5,2,84
1143531,2020-01-16-07-44,2020-01-16-07-46,2020-01-16-07-48,2020-01-16-07-51,2020-01-16-07-51,2020-01-16-07-53,2020-01-16-07-55,2020-01-16-07-58,1,1,0.5,1,3,85
1143533,2020-01-16-08-58,2020-01-16-09-00,2020-01-16-09-02,2020-01-16-09-05,2020-01-16-09-02,2020-01-16-09-05,2020-01-16-09-06,2020-01-16-09-08,2,0,0,1,4,86
1143535,2020-01-16-10-28,2020-01-16-10-30,2020-01-16-10-32,2020-01-16-10-35,2020-01-16-10-29,2020-01-16-10-31,2020-01-16-10-32,2020-01-16-10-36,1.5,0.5,0.5,1,5,87
1143537,2020-01-16-11-39,2020-01-16-11-41,2020-01-16-11-43,2020-01-16-11-46,2020-01-16-11-40,2020-01-16-11-43,2020-01-16-11-44,2020-01-16-11-48,1,0,1,0.5,6,88
1143539,2020-01-16-12-50,2020-01-16-12-52,2020-01-16-12-54,2020-01-16-12-57,2020-01-16-12-52,2020-01-16-12-53,2020-01-16-12-55,2020-01-16-12-58,0.5,0,2,1,7,89
1143541,2020-01-16-14-01,2020-01-16-14-03,2020-01-16-14-05,2020-01-16-14-08,2020-01-16-14-04,2020-01-16-14-06,2020-01-16-14-08,2020-01-16-14-12,1,0.5,1,0.5,8,90
1143543,2020-01-16-15-12,2020-01-16-15-14,2020-01-16-15-16,2020-01-16-15-19,2020-01-16-15-11,2020-01-16-15-13,2020-01-16-15-15,2020-01-16-15-18,1,1,2,1,9,91
1143545,2020-01-16-16-29,2020-01-16-16-31,2020-01-16-16-33,2020-01-16-16-36,2020-01-16-16-30,2020-01-16-16-31,2020-01-16-16-33,2020-01-16-16-35,1,0,0.5,1,10,92
1143547,2020-01-16-17-41,2020-01-16-17-43,2020-01-16-17-45,2020-01-16-17-48,2020-01-16-17-43,2020-01-16-17-45,2020-01-16-17-47,2020-01-16-17-52,1,0,1,0.5,11,93
1143549,2020-01-16-18-52,2020-01-16-18-54,2020-01-16-18-56,2020-01-16-18-59,2020-01-16-19-01,2020-01-16-19-04,2020-01-16-19-05,2020-01-16-19-07,1.5,0.5,1,1,12,94
1143551,2020-01-16-19-59,2020-01-16-20-00,2020-01-16-20-02,2020-01-16-20-04,2020-01-16-20-13,2020-01-16-20-14,2020-01-16-20-15,2020-01-16-20-19,0.5,0.5,0,0.5,13,95
1143553,2020-01-16-21-10,2020-01-16-21-11,2020-01-16-21-13,2020-01-16-21-15,2020-01-16-21-09,2020-01-16-21-11,2020-01-16-21-12,2020-01-16-21-15,1.5,0,0.5,1,14,96
1143527,2020-01-17-05-30,2020-01-17-05-31,2020-01-17-05-33,2020-01-17-05-35,2020-01-17-05-30,2020-01-17-05-31,2020-01-17-05-32,2020-01-17-05-36,0,0,1,1,1,1
1143529,2020-01-17-06-42,2020-01-17-06-43,2020-01-17-06-45,2020-01-17-06-47,2020-01-17-06-42,2020-01-17-06-45,2020-01-17-06-46,2020-01-17-06-50,1.5,0.5,0.5,0,2,2
1143531,2020-01-17-07-44,2020-01-17-07-46,2020-01-17-07-48,2020-01-17-07-51,2020-01-17-07-53,2020-01-17-07-55,2020-01-17-07-57,2020-01-17-08-00,2,0.5,0,1,3,3
1143533,2020-01-17-08-58,2020-01-17-09-00,2020-01-17-09-02,2020-01-17-09-05,2020-01-17-09-07,2020-01-17-09-09,2020-01-17-09-10,2020-01-17-09-14,1,0,2,1,4,4
1143535,2020-01-17-10-28,2020-01-17-10-30,2020-01-17-10-32,2020-01-17-10-35,2020-01-17-10-28,2020-01-17-10-30,2020-01-17-10-31,2020-01-17-10-34,1,0.5,1,0.5,5,5
1143537,2020-01-17-11-39,2020-01-17-11-41,2020-01-17-11-43,2020-01-17-11-46,2020-01-17-11-38,2020-01-17-11-40,2020-01-17-11-42,2020-01-17-11-45,1,1,0.5,1,6,6
1143539,2020-01-17-12-50,2020-01-17-12-52,2020-01-17-12-54,2020-01-17-12-57,2020-01-17-12-50,2020-01-17-12-51,2020-01-17-12-53,2020-01-17-12-56,0,0.5,1,1,7,7
1143541,2020-01-17-14-01,2020-01-17-14-03,2020-01-17-14-05,2020-01-17-14-08,2020-01-17-14-04,2020-01-17-14-06,2020-01-17-14-08,2020-01-17-14-10,2,0.5,0.5,1,8,8
1143543,2020-01-17-15-12,2020-01-17-15-14,2020-01-17-15-16,2020-01-17-15-19,2020-01-17-15-12,2020-01-17-15-14,2020-01-17-15-15,2020-01-17-15-18,0.5,0.5,0.5,1,9,9
